"Indicators","Recuperar.especies.de.interés.comercial","Conservar.especies.en.régimen.de.protección.especial","Mejorar.la.productividad.pesquera.en.aguas.adyacentes","Evitar.que.se.llegue.a.la.sobreexplotación","Recuperar.especies.sobreexplotadas","Contribuir.al.mantenimiento.de.los.procesos.biológicos","Preservar.la.diversidad.biológica.y.los.ecosistemas"
"Indice de diversidad de Shannon",0,0,0,0,0,1,1
"Riqueza",0,0,0,0,0,1,1
"Organismos > LT_50",1,1,1,1,1,1,1
"Densidad",0,0,1,1,0,1,1
"Densidad de especies objetivo",1,1,1,1,1,0,0
"Perturbacion natural",1,1,1,1,1,1,1
"Nivel trofico",0,0,0,1,0,1,1
"Biomasa",0,0,1,1,0,1,1
"Biomasa de especies objetivo",1,1,1,1,1,0,0
